price,year,odometer,manufacturer,model,condition,cylinders,fuel,transmission,type,age,cluster,cluster_name
36990,2016,23190,gmc,sierra 2500 hd double cab,good,8 cylinders,gas,other,pickup,5,2,高端车
27900,2014,170525,chevrolet,silverado 3500hd,good,8 cylinders,diesel,automatic,truck,7,0,经济型车
16900,2015,82999,kia,optima,good,4 cylinders,gas,automatic,sedan,6,0,经济型车
19900,2011,133257,cadillac,escalade,good,8 cylinders,gas,automatic,SUV,10,0,经济型车
19900,2019,21872,hyundai,sonata,good,4 cylinders,gas,automatic,sedan,2,1,中端车
18900,2019,47421,nissan,altima,good,4 cylinders,gas,automatic,sedan,2,1,中端车
22000,2013,119550,rover,lr4 hse,good,8 cylinders,gas,automatic,SUV,8,0,经济型车
34900,2020,15400,nissan,pathfinder,excellent,6 cylinders,gas,automatic,SUV,1,2,高端车
34590,2016,29499,chevrolet,silverado 1500 double,good,6 cylinders,gas,other,pickup,5,2,高端车
34990,2017,31728,gmc,sierra 1500 double cab sle,good,8 cylinders,gas,other,pickup,4,2,高端车
38590,2011,30237,chevrolet,corvette grand sport,good,8 cylinders,gas,other,other,10,2,高端车
8950,2011,164000,ford,f-150,excellent,6 cylinders,gas,automatic,truck,10,3,老旧车
36990,2017,15443,ford,f150 supercrew cab xlt,good,6 cylinders,other,automatic,pickup,4,2,高端车
29990,2017,28680,jeep,wrangler sport suv 2d,good,6 cylinders,gas,other,other,4,2,高端车
38990,2017,20676,jeep,wrangler unlimited rubicon,good,6 cylinders,gas,other,other,4,2,高端车
33990,2018,23720,ford,mustang gt coupe 2d,good,8 cylinders,gas,other,coupe,3,2,高端车
29590,2017,70760,ford,expedition xlt sport,good,6 cylinders,gas,other,SUV,4,1,中端车
33990,2017,9788,ford,mustang gt coupe 2d,good,8 cylinders,gas,other,coupe,4,2,高端车
35590,2018,22805,ram,1500 crew cab big horn,good,6 cylinders,other,other,pickup,3,2,高端车
37900,2020,5622,chevrolet,silverado 1500,like new,8 cylinders,gas,automatic,truck,1,2,高端车
31900,2019,29497,ford,transit,like new,6 cylinders,gas,automatic,van,2,2,高端车
32900,2019,6735,ford,transit,like new,6 cylinders,gas,automatic,van,2,2,高端车
31500,2019,24585,gmc,savana,like new,8 cylinders,gas,automatic,van,2,2,高端车
29900,2019,23004,ford,f-150,like new,8 cylinders,gas,automatic,truck,2,2,高端车
9500,2014,219581,ford,transit connect,excellent,4 cylinders,gas,automatic,van,7,0,经济型车
17200,2014,45026,ford,transit connect,excellent,4 cylinders,gas,automatic,van,7,1,中端车
23900,2017,108482,ford,transit 150,excellent,6 cylinders,gas,automatic,van,4,0,经济型车
22300,2017,113617,ford,transit 150,excellent,6 cylinders,gas,automatic,van,4,0,经济型车
6900,2010,165255,mazda,3i,good,4 cylinders,gas,automatic,sedan,11,3,老旧车
8500,2008,198000,jeep,commander sport,good,8 cylinders,gas,automatic,SUV,13,3,老旧车
16900,2015,97563,ram,1500 slt,good,6 cylinders,gas,automatic,pickup,6,0,经济型车
24990,2007,46463,ford,super duty f-450 drw,good,10 cylinders,gas,automatic,truck,14,3,老旧车
33990,2016,12398,chevrolet,express commercial cutaway,good,8 cylinders,gas,automatic,truck,5,2,高端车
20990,2006,134296,chevrolet,express cargo van,good,8 cylinders,diesel,automatic,truck,15,3,老旧车
27990,2008,83459,ford,econoline cargo van,good,8 cylinders,gas,automatic,truck,13,3,老旧车
33990,2014,136250,ford,super duty f-550 drw,good,8 cylinders,diesel,automatic,truck,7,0,经济型车
22990,2010,121911,ford,econoline commercial cutaway,good,10 cylinders,gas,automatic,truck,11,3,老旧车
24990,2017,136965,gmc,savana commercial cutaway,good,8 cylinders,gas,automatic,truck,4,0,经济型车
24990,2009,72789,chevrolet,3500 lcf gas,good,8 cylinders,gas,automatic,truck,12,0,经济型车
25990,2006,73360,chevrolet,express cargo van,good,8 cylinders,gas,automatic,truck,15,3,老旧车
29990,2011,137481,ford,super duty f-450 drw,good,8 cylinders,diesel,automatic,truck,10,0,经济型车
33990,2007,77581,chevrolet,cc4500,good,8 cylinders,gas,automatic,truck,14,3,老旧车
21990,2005,45554,ford,econoline commercial cutaway,good,8 cylinders,gas,automatic,truck,16,3,老旧车
49990,2015,152701,ford,super duty f-550 drw,good,8 cylinders,diesel,automatic,truck,6,2,高端车
26990,2016,75734,chevrolet,express commercial cutaway,good,8 cylinders,gas,automatic,truck,5,1,中端车
27490,2006,96626,mitsubishi,fuso fe145,good,4 cylinders,diesel,automatic,truck,15,3,老旧车
28490,2008,70643,mitsubishi,fuso fe145,good,4 cylinders,diesel,automatic,truck,13,3,老旧车
33990,2012,49678,ford,super duty f-250 srw,good,8 cylinders,diesel,automatic,truck,9,2,高端车
46990,2016,17619,ram,4500,good,6 cylinders,diesel,automatic,truck,5,2,高端车
44990,2012,52307,ford,super duty f-550 drw,good,8 cylinders,diesel,automatic,truck,9,2,高端车
44990,2015,80733,ram,5500,good,6 cylinders,diesel,automatic,truck,6,2,高端车
20990,2010,121850,ram,2500,good,8 cylinders,gas,automatic,truck,11,3,老旧车
26990,2008,100921,chevrolet,cc4500,good,8 cylinders,gas,automatic,truck,13,3,老旧车
52990,2014,15886,ford,super duty f-550 drw,good,8 cylinders,diesel,automatic,truck,7,2,高端车
35990,2014,42213,ford,super duty f-450 drw,good,10 cylinders,gas,automatic,truck,7,2,高端车
27990,2011,123622,ford,f-750,good,6 cylinders,diesel,automatic,truck,10,0,经济型车
29990,2012,43182,toyota,tacoma double cab pickup,good,6 cylinders,gas,other,pickup,9,1,中端车
27490,2006,96626,mitsubishi,fuso fe145,good,4 cylinders,diesel,automatic,truck,15,3,老旧车
33990,2014,136250,ford,super duty f-550 drw,good,8 cylinders,diesel,automatic,truck,7,0,经济型车
24990,2009,72789,chevrolet,3500 lcf gas,good,8 cylinders,gas,automatic,truck,12,0,经济型车
25990,2006,73360,chevrolet,express cargo van,good,8 cylinders,gas,automatic,truck,15,3,老旧车
24990,2017,136965,gmc,savana commercial cutaway,good,8 cylinders,gas,automatic,truck,4,0,经济型车
29990,2011,137481,ford,super duty f-450 drw,good,8 cylinders,diesel,automatic,truck,10,0,经济型车
24990,2007,46463,ford,super duty f-450 drw,good,10 cylinders,gas,automatic,truck,14,3,老旧车
22990,2010,121911,ford,econoline commercial cutaway,good,10 cylinders,gas,automatic,truck,11,3,老旧车
20990,2006,134296,chevrolet,express cargo van,good,8 cylinders,diesel,automatic,truck,15,3,老旧车
33990,2016,12398,chevrolet,express commercial cutaway,good,8 cylinders,gas,automatic,truck,5,2,高端车
26990,2016,75734,chevrolet,express commercial cutaway,good,8 cylinders,gas,automatic,truck,5,1,中端车
27990,2008,83459,ford,econoline cargo van,good,8 cylinders,gas,automatic,truck,13,3,老旧车
14990,2012,67820,ford,econoline,good,8 cylinders,gas,automatic,truck,9,0,经济型车
59990,2017,31337,ford,super duty f-550 drw,good,8 cylinders,diesel,automatic,truck,4,2,高端车
31990,2006,59429,ford,super duty f-550 drw,good,8 cylinders,diesel,automatic,truck,15,3,老旧车
31990,2018,27426,ram,1500 quad cab harvest pickup,good,6 cylinders,gas,other,pickup,3,2,高端车
8500,2015,100000,nissan,altima 2.5 s,excellent,4 cylinders,gas,automatic,sedan,6,0,经济型车
31590,2017,28185,lexus,rx 350 sport utility 4d,good,6 cylinders,gas,other,SUV,4,2,高端车
18990,2010,32988,ford,econoline cargo van,good,8 cylinders,gas,automatic,van,11,1,中端车
15900,2017,28650,nissan,frontier sv,good,4 cylinders,gas,automatic,truck,4,1,中端车
13900,2013,86933,honda,cr-v lx,good,4 cylinders,gas,automatic,SUV,8,0,经济型车
9800,2008,138266,mazda,cx-9 touring,good,6 cylinders,gas,automatic,SUV,13,3,老旧车
8500,2008,155374,lexus,es350,good,6 cylinders,gas,automatic,sedan,13,3,老旧车
27590,2018,48039,lincoln,mkx reserve sport,good,6 cylinders,gas,other,other,3,1,中端车
8950,2011,164000,ford,f-150,excellent,6 cylinders,gas,automatic,truck,10,3,老旧车
36590,2019,14222,gmc,sierra 1500 limited double,good,8 cylinders,gas,other,pickup,2,2,高端车
35590,2011,16796,dodge,challenger srt8 coupe 2d,good,8 cylinders,gas,other,coupe,10,2,高端车
46990,2014,16966,chevrolet,corvette stingray,good,8 cylinders,gas,other,other,7,2,高端车
14141,2017,102386,ram,promaster city cargo van,like new,4 cylinders,gas,automatic,van,4,0,经济型车
18777,2016,38561,volvo,s60 inscription platinum,like new,4 cylinders,gas,automatic,sedan,5,1,中端车
24590,2018,33036,nissan,frontier crew cab pro-4x,good,6 cylinders,gas,other,pickup,3,1,中端车
28500,2019,43961,gmc,acadia,good,6 cylinders,gas,automatic,SUV,2,2,高端车
23900,2017,50543,jeep,grand cherokee,good,6 cylinders,gas,automatic,SUV,4,1,中端车
33990,2018,34636,jeep,wrangler unlimited willys,good,6 cylinders,gas,other,other,3,2,高端车
39590,2018,21893,jeep,wrangler unlimited all new,good,6 cylinders,gas,other,SUV,3,2,高端车
38590,2014,39558,mercedes-benz,c-class c 63 amg,good,8 cylinders,gas,automatic,coupe,7,2,高端车
19500,2013,119895,infiniti,qx 56,like new,8 cylinders,gas,automatic,SUV,8,0,经济型车
7991,2011,93333,dodge,caliber mainstreet,excellent,4 cylinders,gas,automatic,hatchback,10,0,经济型车
9800,2010,132815,cadillac,srx luxury,good,6 cylinders,gas,automatic,SUV,11,3,老旧车
8950,2011,164000,ford,f-150,excellent,6 cylinders,gas,automatic,truck,10,3,老旧车
21900,2011,93096,chevrolet,camaro 2ss,good,8 cylinders,gas,automatic,convertible,10,0,经济型车
33590,2020,15591,chevrolet,silverado 1500 double,good,6 cylinders,other,other,pickup,1,2,高端车
22900,2018,14570,nissan,frontier,good,4 cylinders,gas,automatic,truck,3,1,中端车
30900,2015,114800,chevrolet,silverado 1500,good,8 cylinders,gas,automatic,truck,6,0,经济型车
24900,2015,119569,chevrolet,silverado 1500,good,8 cylinders,gas,automatic,truck,6,0,经济型车
49990,2015,41631,ford,super duty f-550 drw,good,10 cylinders,gas,automatic,truck,6,2,高端车
38990,2013,134000,chevrolet,express commercial cutaway,good,8 cylinders,gas,automatic,truck,8,0,经济型车
34990,2017,135740,ram,2500,good,8 cylinders,gas,automatic,truck,4,0,经济型车
10990,2009,102078,lexus,es 350,good,6 cylinders,gas,automatic,sedan,12,3,老旧车
38990,2016,33474,mitsubishi,fuso fe180,good,4 cylinders,diesel,automatic,truck,5,2,高端车
28990,2008,118078,ford,super duty f-450 drw,good,8 cylinders,gas,automatic,truck,13,3,老旧车
8990,2013,127100,chevrolet,equinox,good,4 cylinders,gas,automatic,wagon,8,0,经济型车
49990,2013,98689,ford,super duty f-550 drw,good,8 cylinders,diesel,automatic,truck,8,2,高端车
26990,2016,105070,ford,econoline commercial cutaway,good,10 cylinders,gas,automatic,truck,5,0,经济型车
21990,2018,25500,nissan,maxima,good,6 cylinders,gas,automatic,sedan,3,1,中端车
24990,2008,139567,ford,econoline cargo van,good,8 cylinders,gas,automatic,truck,13,3,老旧车
24990,2014,117851,mitsubishi,fuso fe,good,4 cylinders,diesel,automatic,truck,7,0,经济型车
47990,2014,39253,ford,super duty f-550 drw,good,8 cylinders,diesel,automatic,truck,7,2,高端车
22990,2016,181410,ford,econoline commercial cutaway,good,8 cylinders,gas,automatic,truck,5,0,经济型车
29990,2007,124669,ford,super duty f-750 straight frame,good,8 cylinders,diesel,automatic,truck,14,3,老旧车
23990,2007,32853,chevrolet,silverado 3500 classic,good,8 cylinders,gas,automatic,truck,14,3,老旧车
26990,2016,201035,ford,super duty f-750 straight frame,good,8 cylinders,diesel,automatic,truck,5,0,经济型车
39990,2017,68655,ford,f-650 sd,good,10 cylinders,gas,automatic,truck,4,2,高端车
31990,2013,101335,ford,super duty f-250 srw,good,8 cylinders,gas,automatic,truck,8,0,经济型车
36490,2018,16535,ford,e-series cutaway,good,10 cylinders,gas,automatic,truck,3,2,高端车
35990,2017,45925,mitsubishi,fuso fe160,good,4 cylinders,diesel,automatic,truck,4,2,高端车
34500,2019,7646,ford,transit,like new,6 cylinders,gas,automatic,van,2,2,高端车
16900,2014,35173,ford,transit connect,excellent,4 cylinders,gas,automatic,van,7,1,中端车
32700,2019,13646,ford,transit,like new,6 cylinders,gas,automatic,van,2,2,高端车
32900,2019,6735,ford,transit,like new,6 cylinders,gas,automatic,van,2,2,高端车
34800,2019,31020,ford,transit,like new,6 cylinders,gas,automatic,van,2,2,高端车
9500,2014,219581,ford,transit connect,excellent,4 cylinders,gas,automatic,van,7,0,经济型车
24990,2013,27623,lexus,rx 350 sport utility 4d,good,6 cylinders,gas,other,SUV,8,1,中端车
9800,2012,76117,kia,soul,good,4 cylinders,gas,automatic,wagon,9,0,经济型车
35500,2019,7189,chevrolet,silverado 4x4,like new,8 cylinders,gas,automatic,truck,2,2,高端车
12900,2013,47751,nissan,frontier s king cab,good,4 cylinders,gas,manual,pickup,8,1,中端车
6950,2008,135000,honda,civic exl,excellent,4 cylinders,gas,automatic,sedan,13,3,老旧车
5950,2008,190000,honda,accord,excellent,4 cylinders,gas,automatic,sedan,13,3,老旧车
6350,2013,184000,toyota,corolla le,excellent,4 cylinders,gas,automatic,sedan,8,0,经济型车
18900,2015,112165,ford,f-150 supercab xlt,good,6 cylinders,gas,automatic,truck,6,0,经济型车
16900,2017,88987,chrysler,pacifica l,good,6 cylinders,gas,automatic,mini-van,4,1,中端车
35990,2020,8677,infiniti,q60 3.0t pure coupe 2d,good,6 cylinders,gas,other,coupe,1,2,高端车
27500,2018,21115,acura,tlx,good,6 cylinders,gas,automatic,sedan,3,2,高端车
19900,2018,35823,kia,sportage,good,4 cylinders,gas,automatic,SUV,3,1,中端车
17900,2013,153943,ram,1500,good,8 cylinders,gas,automatic,truck,8,0,经济型车
14900,2015,97061,subaru,xv crosstrek,good,4 cylinders,gas,automatic,SUV,6,0,经济型车
20900,2013,152233,ford,f-150,good,6 cylinders,gas,automatic,truck,8,0,经济型车
7400,2007,181000,lexus,rx350,good,6 cylinders,gas,automatic,SUV,14,3,老旧车
12900,2015,74400,volkswagen,passat,excellent,4 cylinders,diesel,automatic,sedan,6,0,经济型车
7500,2011,51000,kia,soul,excellent,4 cylinders,gas,automatic,SUV,10,0,经济型车
5500,2007,51000,toyota,yaris,excellent,4 cylinders,gas,manual,hatchback,14,3,老旧车
35900,2020,21028,ram,1500 big horn,good,8 cylinders,gas,automatic,pickup,1,2,高端车
28990,2018,32458,infiniti,qx60 3.5 sport utility,good,6 cylinders,gas,other,SUV,3,2,高端车
20590,2018,71021,chrysler,300 limited sedan 4d,good,6 cylinders,gas,other,sedan,3,1,中端车
20300,2017,141625,ford,transit 150,excellent,6 cylinders,gas,automatic,van,4,0,经济型车
29600,2019,30052,gmc,savana,like new,8 cylinders,gas,automatic,van,2,2,高端车
9500,2014,219581,ford,transit connect,excellent,4 cylinders,gas,automatic,van,7,0,经济型车
36700,2019,14985,ford,transit 250,excellent,6 cylinders,gas,automatic,van,2,2,高端车
37900,2020,5622,chevrolet,silverado 1500,like new,8 cylinders,gas,automatic,truck,1,2,高端车
32800,2018,43479,ford,transit,excellent,6 cylinders,gas,automatic,van,3,2,高端车
31900,2019,29497,ford,transit 250,excellent,6 cylinders,gas,automatic,van,2,2,高端车
38300,2020,7540,ford,transit,like new,6 cylinders,gas,automatic,van,1,2,高端车
34800,2019,31020,ford,transit,excellent,6 cylinders,gas,automatic,van,2,2,高端车
24900,2016,122238,ford,econoline,excellent,8 cylinders,gas,automatic,truck,5,0,经济型车
17900,2011,133847,chevrolet,camaro ss,good,8 cylinders,gas,manual,coupe,10,0,经济型车
51990,2020,33829,gmc,yukon slt sport utility 4d,good,8 cylinders,other,other,SUV,1,2,高端车
16900,2015,78808,nissan,pathfinder sv,like new,6 cylinders,gas,automatic,SUV,6,1,中端车
24500,2006,147000,ford,f550,excellent,8 cylinders,diesel,automatic,truck,15,3,老旧车
49990,2020,31166,gmc,yukon slt sport utility 4d,good,8 cylinders,other,other,SUV,1,2,高端车
40900,2021,1582,toyota,tacoma 4wd,good,6 cylinders,gas,automatic,truck,0,2,高端车
18900,2019,44276,nissan,altima,good,4 cylinders,gas,automatic,sedan,2,1,中端车
10500,2010,173000,acura,mdx,excellent,6 cylinders,gas,automatic,SUV,11,3,老旧车
11987,2012,117000,lexus,ct 200h f-sport,excellent,4 cylinders,gas,automatic,hatchback,9,0,经济型车
32590,2017,20425,lexus,rx 350 sport utility 4d,good,6 cylinders,gas,other,SUV,4,2,高端车
40000,2017,44000,ford,f-150,like new,6 cylinders,gas,automatic,truck,4,2,高端车
51990,2018,72367,cadillac,escalade esv premium,good,8 cylinders,other,automatic,SUV,3,2,高端车
35590,2017,76216,lincoln,navigator l select sport,good,6 cylinders,gas,automatic,SUV,4,2,高端车
49900,2019,1900,lexus,rx 450h,new,6 cylinders,hybrid,automatic,SUV,2,2,高端车
34990,2018,37509,jeep,grand cherokee trailhawk,good,6 cylinders,gas,other,other,3,2,高端车
27990,2012,68696,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,other,pickup,9,1,中端车
34590,2016,29499,chevrolet,silverado 1500 double,good,6 cylinders,gas,other,pickup,5,2,高端车
36990,2018,23424,gmc,sierra 1500 double cab sle,good,8 cylinders,gas,other,pickup,3,2,高端车
39590,2020,1419,ford,mustang gt premium coupe 2d,good,8 cylinders,gas,other,coupe,1,2,高端车
24590,2016,66313,jeep,wrangler sport suv 2d,good,6 cylinders,gas,other,other,5,1,中端车
32990,2017,30041,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,other,4,2,高端车
29990,2016,17302,chevrolet,colorado extended cab,good,6 cylinders,gas,other,pickup,5,2,高端车
32990,2019,2676,dodge,challenger r/t coupe 2d,good,8 cylinders,gas,other,coupe,2,2,高端车
38590,2011,30237,chevrolet,corvette grand sport,good,8 cylinders,gas,other,other,10,2,高端车
34990,2018,22064,ram,1500 quad cab big horn,good,6 cylinders,other,other,pickup,3,2,高端车
30990,2017,31095,nissan,frontier crew cab pro-4x,good,6 cylinders,gas,other,pickup,4,2,高端车
39590,2017,10496,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,other,coupe,4,2,高端车
9900,2012,108301,mini,cooper countryman s,excellent,4 cylinders,gas,automatic,hatchback,9,0,经济型车
10900,2012,92000,mini,cooper hardtop s,excellent,4 cylinders,gas,automatic,hatchback,9,0,经济型车
27990,2012,67245,toyota,tacoma double cab pickup,good,6 cylinders,gas,other,pickup,9,1,中端车
36990,2016,23190,gmc,sierra 2500 hd double cab,good,8 cylinders,gas,other,pickup,5,2,高端车
34990,2018,20894,ram,1500 crew cab slt pickup 4d,good,6 cylinders,gas,other,pickup,3,2,高端车
34990,2017,31728,gmc,sierra 1500 double cab sle,good,8 cylinders,gas,other,pickup,4,2,高端车
29990,2014,26129,chevrolet,silverado 1500 double,good,8 cylinders,gas,other,pickup,7,1,中端车
29990,2017,28680,jeep,wrangler sport suv 2d,good,6 cylinders,gas,other,other,4,2,高端车
38990,2017,20676,jeep,wrangler unlimited rubicon,good,6 cylinders,gas,other,other,4,2,高端车
29590,2017,70760,ford,expedition xlt sport,good,6 cylinders,gas,other,SUV,4,1,中端车
24990,2013,70559,gmc,sierra 1500 extended cab sle,good,8 cylinders,gas,other,pickup,8,1,中端车
31990,2018,27426,ram,1500 quad cab harvest pickup,good,6 cylinders,gas,other,pickup,3,2,高端车
15900,2011,63000,mercedes-benz,benz glk 350,excellent,6 cylinders,gas,automatic,SUV,10,0,经济型车
33990,2017,17033,ram,1500 crew cab tradesman,good,8 cylinders,gas,other,pickup,4,2,高端车
33990,2018,34636,jeep,wrangler unlimited willys,good,6 cylinders,gas,other,other,3,2,高端车
36590,2019,14222,gmc,sierra 1500 limited double,good,8 cylinders,gas,other,pickup,2,2,高端车
32990,2018,30533,jeep,wrangler sahara (jk) sport,good,6 cylinders,gas,other,SUV,3,2,高端车
28590,2018,20736,gmc,acadia sle-2 sport utility,good,6 cylinders,gas,other,other,3,2,高端车
38990,2020,5279,infiniti,qx60 luxe sport utility,good,6 cylinders,gas,other,other,1,2,高端车
33590,2020,15591,chevrolet,silverado 1500 double,good,6 cylinders,other,other,pickup,1,2,高端车
35990,2020,33556,toyota,4runner sr5 sport utility,good,6 cylinders,gas,other,SUV,1,2,高端车
39590,2020,3110,toyota,4runner sr5 sport utility,good,6 cylinders,gas,other,SUV,1,2,高端车
20590,2018,71021,chrysler,300 limited sedan 4d,good,6 cylinders,gas,other,sedan,3,1,中端车
35590,2017,76216,lincoln,navigator l select sport,good,6 cylinders,gas,automatic,SUV,4,2,高端车
45590,2020,3687,acura,mdx advance pkg sport,good,6 cylinders,gas,other,SUV,1,2,高端车
37990,2016,9704,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,other,coupe,5,2,高端车
16500,2013,51500,ford,escape sel,excellent,4 cylinders,gas,automatic,SUV,8,1,中端车
23000,2010,112000,jeep,wrangler unlimited,excellent,6 cylinders,gas,automatic,SUV,11,0,经济型车
29990,2016,17302,chevrolet,colorado extended cab,good,6 cylinders,gas,other,pickup,5,2,高端车
39590,2020,1419,ford,mustang gt premium coupe 2d,good,8 cylinders,gas,other,coupe,1,2,高端车
36590,2020,3592,gmc,sierra 1500 double cab,good,6 cylinders,gas,other,pickup,1,2,高端车
39990,2019,8373,nissan,370z nismo coupe 2d,good,6 cylinders,gas,other,coupe,2,2,高端车
36990,2018,21415,toyota,4runner sr5 sport utility,good,6 cylinders,gas,other,other,3,2,高端车
34590,2016,29499,chevrolet,silverado 1500 double,good,6 cylinders,gas,other,pickup,5,2,高端车
13500,2012,138258,honda,odyssey,excellent,6 cylinders,gas,automatic,van,9,0,经济型车
37990,2010,56302,chevrolet,corvette grand sport,good,8 cylinders,other,other,other,11,2,高端车
29990,2017,28680,jeep,wrangler sport suv 2d,good,6 cylinders,gas,other,other,4,2,高端车
